id;source;target;qnt_of_letters;when;volume
93;Князь Степан Куракин;Александр Борисович Куракин;4;1774;7
94;Княгиня Е.Р. Дашкова;Александр Борисович Куракин;8;1774;7
95;Граф С.В. Салтыков;Александр Борисович Куракин;1;1774;7
96;Профессор Пестель;Александр Борисович Куракин;5;1774;7
97;Княгиня Александра Ивановна Куракина;Александр Борисович Куракин;7;1774;7
98;Н.Н. Бантыш-Каменский;Александр Борисович Куракин;1;1774;7
99;Н.В. Страхов;Александр Борисович Куракин;3;1774;7
100;Граф Сальдерн;Александр Борисович Куракин;4;1774;7
101;Александр Борисович Куракин;Князь Степан Куракин;1;1774;7
102;Князь Н.Б. Юсупов;Александр Борисович Куракин;4;1774;7
103;Граф С.П. Румянцев;Александр Борисович Куракин;5;1774;7
104;Лакост де Мезиер;Александр Борисович Куракин;1;1774;7
105;Ольдекоп;Александр Борисович Куракин;1;1774;7
106;Князь Алексей Куракин;Александр Борисович Куракин;11;1775;7
107;Профессор Пестель;Александр Борисович Куракин;4;1775;7
108;Муасси;Александр Борисович Куракин;5;1775;7
109;Князь Н.Б. Юсупов;Александр Борисович Куракин;2;1775;7
110;С.С. Апраксин;Александр Борисович Куракин;8;1775;7
111;Керру;Александр Борисович Куракин;2;1775;7
112;К.И. Остен-Сакен;Александр Борисович Куракин;3;1775;7
113;И.И. Крок;Александр Борисович Куракин;1;1775;7
114;Барон Лефорт;Александр Борисович Куракин;2;1775;7
115;Эмануил Репей;Александр Борисович Куракин;3;1775;7
116;Княгиня Наталья Александровна Репнина;Александр Борисович Куракин;1;1775;7
117;Князь Николай Васильевич Репнин;Александр Борисович Куракин;1;1775;7
118;Н.В. Страхов;Александр Борисович Куракин;1;1775;7
119;Ольдекоп;Александр Борисович Куракин;1;1775;7
